w_value,epoch,avg_loss,avg_loss_with_reg,avg_acc,avg_srpq,avg_reg,avg_w
0.128,14,0.020144,0.160314,0.962864,0.869211,0.140170,0.128000
0.128,15,0.019730,0.159019,0.963383,0.869977,0.139288,0.128000
0.128,16,0.019339,0.157749,0.963816,0.870742,0.138410,0.128000
0.128,17,0.018954,0.156491,0.963989,0.871503,0.137536,0.128000
0.128,18,0.018574,0.155244,0.964335,0.872258,0.136670,0.128000
0.128,19,0.018212,0.154020,0.964508,0.873010,0.135809,0.128000
0.128,20,0.017864,0.152815,0.965028,0.873758,0.134951,0.128000
0.128,21,0.017531,0.151628,0.965720,0.874505,0.134098,0.128000
0.128,22,0.017216,0.150463,0.965893,0.875249,0.133247,0.128000
0.128,23,0.016907,0.149306,0.966066,0.875992,0.132399,0.128000
0.128,24,0.016613,0.148167,0.966499,0.876732,0.131554,0.128000
0.128,25,0.016337,0.147050,0.966499,0.877469,0.130714,0.128000
0.128,26,0.016067,0.145945,0.966586,0.878203,0.129878,0.128000
0.128,27,0.015809,0.144856,0.966586,0.878933,0.129047,0.128000
0.128,28,0.015555,0.143777,0.966846,0.879658,0.128223,0.128000
0.128,29,0.015307,0.142712,0.967105,0.880377,0.127405,0.128000
0.128,30,0.015069,0.141663,0.967365,0.881092,0.126594,0.128000
0.256,1,0.028374,0.134680,0.956631,0.899149,0.106306,0.256000
0.256,2,0.027123,0.132882,0.959834,0.899641,0.105759,0.256000
0.256,3,0.026647,0.131857,0.958276,0.900136,0.105210,0.256000
0.256,4,0.025853,0.130572,0.958622,0.900578,0.104719,0.256000
0.256,5,0.025105,0.129360,0.959747,0.900996,0.104255,0.256000
0.256,6,0.024573,0.128360,0.960267,0.901417,0.103787,0.256000
0.256,7,0.024042,0.127345,0.961305,0.901854,0.103302,0.256000
0.256,8,0.023463,0.126265,0.961132,0.902306,0.102801,0.256000
0.256,9,0.022875,0.125164,0.961219,0.902769,0.102289,0.256000
0.256,10,0.022353,0.124121,0.960440,0.903239,0.101768,0.256000
0.256,11,0.021882,0.123125,0.960267,0.903714,0.101243,0.256000
0.256,12,0.021449,0.122166,0.959920,0.904189,0.100717,0.256000
0.256,13,0.021025,0.121218,0.960526,0.904663,0.100193,0.256000
0.256,14,0.020589,0.120262,0.960613,0.905133,0.099673,0.256000
0.256,15,0.020149,0.119305,0.961738,0.905601,0.099157,0.256000
0.256,16,0.019719,0.118362,0.963037,0.906066,0.098643,0.256000
0.256,17,0.019311,0.117442,0.963556,0.906531,0.098131,0.256000
0.256,18,0.018933,0.116550,0.963816,0.906996,0.097617,0.256000
0.256,19,0.018578,0.115680,0.963989,0.907463,0.097102,0.256000
0.256,20,0.018236,0.114821,0.964422,0.907932,0.096586,0.256000
0.256,21,0.017902,0.113969,0.964422,0.908403,0.096067,0.256000
0.256,22,0.017579,0.113126,0.964595,0.908875,0.095548,0.256000
0.256,23,0.017262,0.112290,0.964941,0.909348,0.095028,0.256000
0.256,24,0.016965,0.111474,0.965287,0.909820,0.094509,0.256000
0.256,25,0.016692,0.110683,0.965287,0.910292,0.093990,0.256000
0.256,26,0.016429,0.109903,0.965374,0.910762,0.093474,0.256000
0.256,27,0.016175,0.109136,0.965547,0.911229,0.092961,0.256000
0.256,28,0.015932,0.108383,0.965807,0.911693,0.092452,0.256000
0.256,29,0.015684,0.107630,0.966153,0.912154,0.091946,0.256000
0.256,30,0.015441,0.106885,0.966240,0.912612,0.091444,0.256000
0.512,15,0.022488,0.078401,0.960180,0.945621,0.055913,0.512000
0.512,16,0.022079,0.077815,0.960440,0.945788,0.055736,0.512000
0.512,17,0.021644,0.077199,0.960959,0.945961,0.055554,0.512000
0.512,18,0.021189,0.076556,0.961479,0.946138,0.055367,0.512000
0.512,19,0.020725,0.075901,0.961305,0.946318,0.055176,0.512000
0.512,20,0.020262,0.075246,0.961565,0.946501,0.054984,0.512000
0.512,21,0.019828,0.074617,0.961998,0.946685,0.054789,0.512000
0.512,22,0.019408,0.074002,0.962431,0.946869,0.054594,0.512000
0.512,23,0.019037,0.073437,0.963037,0.947053,0.054400,0.512000
0.512,24,0.018694,0.072900,0.962777,0.947237,0.054206,0.512000
0.512,25,0.018393,0.072407,0.963123,0.947419,0.054014,0.512000
0.512,26,0.018113,0.071937,0.962864,0.947599,0.053824,0.512000
0.512,27,0.017852,0.071488,0.962777,0.947777,0.053636,0.512000
0.512,28,0.017599,0.071050,0.962517,0.947953,0.053451,0.512000
0.512,29,0.017345,0.070613,0.962777,0.948126,0.053268,0.512000
0.512,30,0.017089,0.070176,0.962950,0.948297,0.053088,0.512000
0.6,1,0.019707,0.062776,0.965114,0.957846,0.043069,0.600000
0.6,2,0.018985,0.061868,0.964768,0.958024,0.042883,0.600000
0.6,3,0.018601,0.061291,0.963902,0.958209,0.042690,0.600000
0.6,4,0.018169,0.060671,0.964162,0.958389,0.042501,0.600000
0.6,5,0.017768,0.060086,0.965634,0.958565,0.042318,0.600000
0.6,6,0.017422,0.059556,0.965634,0.958741,0.042134,0.600000
0.6,7,0.017089,0.059033,0.966326,0.958923,0.041944,0.600000
0.6,8,0.016751,0.058500,0.966413,0.959110,0.041749,0.600000
0.6,9,0.016407,0.057956,0.967192,0.959302,0.041549,0.600000
0.6,10,0.016077,0.057424,0.967192,0.959496,0.041347,0.600000
0.6,11,0.015770,0.056911,0.967711,0.959693,0.041142,0.600000
0.6,12,0.015483,0.056419,0.967971,0.959891,0.040936,0.600000
0.6,13,0.015221,0.055951,0.967971,0.960088,0.040730,0.600000
0.6,14,0.014967,0.055493,0.967971,0.960284,0.040526,0.600000
0.6,15,0.014720,0.055043,0.968490,0.960479,0.040323,0.600000
0.6,16,0.014477,0.054599,0.969183,0.960673,0.040122,0.600000
0.6,17,0.014247,0.054168,0.969875,0.960865,0.039921,0.600000
0.6,18,0.014032,0.053753,0.969875,0.961058,0.039721,0.600000
0.6,19,0.013827,0.053347,0.970395,0.961251,0.039520,0.600000
